State,Year,Number With Current Asthma,Percent With Current Asthma,State Abbreviation
Alabama,2021,394199,10.1,AL
Alaska,2021,49453,9,AK
Arizona,2021,519749,9.4,AZ
Arkansas,2021,207857,9,AR
California,2021,2694396,8.8,CA
Colorado,2021,476932,10.4,CO
Connecticut,2021,300910,10.5,CT
Delaware,2021,77695,9.8,DE
District of Columbia,2021,64298,11.6,
Florida,2021,,,FL
Georgia,2021,772663,9.4,GA
Hawaii,2021,92849,8.1,HI
Idaho,2021,138516,9.8,ID
Illinois,2021,860395,8.7,IL
Indiana,2021,536397,10.3,IN
Iowa,2021,224466,9.1,IA
Kansas,2021,235953,10.6,KS
Kentucky,2021,408801,11.7,KY
Louisiana,2021,344842,9.7,LA
Maine,2021,138396,12.5,ME
Maryland,2021,451158,9.4,MD
Massachusetts,2021,661306,11.7,MA
Michigan,2021,908568,11.5,MI
Minnesota,2021,387219,8.8,MN
Mississippi,2021,226646,10,MS
Missouri,2021,449253,9.4,MO
Montana,2021,83698,9.7,MT
Nebraska,2021,122491,8.2,NE
Nevada,2021,223954,9.1,NV
New Hampshire,2021,136025,12.1,NH
New Jersey,2021,646963,8.9,NJ
New Mexico,2021,173518,10.6,NM
New York,2021,1563485,9.8,NY
North Carolina,2021,717344,8.7,NC
North Dakota,2021,50012,8.4,ND
Ohio,2021,955568,10.4,OH
Oklahoma,2021,326087,10.9,OK
Oregon,2021,377851,11.2,OR
Pennsylvania,2021,1062292,10.3,PA
Rhode Island,2021,111498,12.6,RI
South Carolina,2021,372607,9.2,SC
South Dakota,2021,55927,8.3,SD
Tennessee,2021,558276,10.3,TN
Texas,2021,1854306,8.4,TX
Utah,2021,231080,9.7,UT
Vermont,2021,61465,11.8,VT
Virginia,2021,661945,9.8,VA
Washington,2021,641131,10.5,WA
West Virginia,2021,171141,12.1,WV
Wisconsin,2021,498228,10.8,WI
Wyoming,2021,43188,9.7,WY
Guam,2021,4997,4.7,
Puerto Rico,2021,311148,11.4,
Virgin Islands,2021,3920,5,
Alabama,2020,341720,9,AL
Alaska,2020,48173,8.9,AK
Arizona,2020,550729,9.6,AZ
Arkansas,2020,210340,9.1,AR
California,2020,2848466,9.3,CA
Colorado,2020,434782,9.6,CO
Connecticut,2020,299193,10.6,CT
Delaware,2020,83428,10.8,DE
District of Columbia,2020,59464,10.4,
Florida,2020,1276625,7.3,FL
Georgia,2020,736912,9,GA
Hawaii,2020,96890,8.8,HI
Idaho,2020,127406,9.4,ID
Illinois,2020,832244,8.5,IL
Indiana,2020,497539,9.6,IN
Iowa,2020,220085,9.1,IA
Kansas,2020,216312,9.8,KS
Kentucky,2020,395633,11.5,KY
Louisiana,2020,276711,7.8,LA
Maine,2020,115621,10.6,ME
Maryland,2020,420686,8.9,MD
Massachusetts,2020,592048,10.7,MA
Michigan,2020,859534,11,MI
Minnesota,2020,369238,8.5,MN
Mississippi,2020,201273,8.9,MS
Missouri,2020,441777,9.3,MO
Montana,2020,89552,10.6,MT
Nebraska,2020,114104,7.8,NE
Nevada,2020,230431,9.5,NV
New Hampshire,2020,127113,11.5,NH
New Jersey,2020,598649,8.7,NJ
New Mexico,2020,162657,10.1,NM
New York,2020,1449094,9.5,NY
North Carolina,2020,645784,7.8,NC
North Dakota,2020,49883,8.6,ND
Ohio,2020,895631,9.9,OH
Oklahoma,2020,322759,10.8,OK
Oregon,2020,356958,10.6,OR
Pennsylvania,2020,1032246,10.2,PA
Rhode Island,2020,103190,12.1,RI
South Carolina,2020,385741,9.4,SC
South Dakota,2020,53990,8.1,SD
Tennessee,2020,552156,10.3,TN
Texas,2020,1617392,7.4,TX
Utah,2020,249663,10.8,UT
Vermont,2020,54781,10.8,VT
Virginia,2020,571162,8.6,VA
Washington,2020,579774,9.6,WA
West Virginia,2020,175011,12.4,WV
Wisconsin,2020,465109,10.2,WI
Wyoming,2020,44192,10,WY
Guam,2020,5369,5,
Puerto Rico,2020,283602,10.4,
Alabama,2019,360965,9.5,AL
Alaska,2019,54239,9.9,AK
Arizona,2019,544394,9.7,AZ
Arkansas,2019,215095,9.3,AR
California,2019,2405797,7.8,CA
Colorado,2019,434603,9.7,CO
Connecticut,2019,297971,10.5,CT
Delaware,2019,75119,9.8,DE
District of Columbia,2019,65253,11.4,
Florida,2019,1292568,7.4,FL
Georgia,2019,620794,7.7,GA
Hawaii,2019,106413,9.6,HI
Idaho,2019,131709,10,ID
Illinois,2019,808461,8.2,IL
Indiana,2019,499841,9.8,IN
Iowa,2019,194614,8,IA
