State Abbreviation,State,Year,Number With Current Asthma,Percent With Current Asthma,Number of Deaths,Adjusted Death Rate
AL,Alabama,2021,394199.0,10.1,67.0,11.6
AK,Alaska,2021,49453.0,9.0,11.0,
AZ,Arizona,2021,519749.0,9.4,89.0,10.3
AR,Arkansas,2021,207857.0,9.0,37.0,11.2
CA,California,2021,2694396.0,8.8,352.0,8.2
CO,Colorado,2021,476932.0,10.4,49.0,7.6
CT,Connecticut,2021,300910.0,10.5,35.0,8.5
DE,Delaware,2021,77695.0,9.8,15.0,
,District of Columbia,2021,64298.0,11.6,14.0,
FL,Florida,2021,,,204.0,8.0
GA,Georgia,2021,772663.0,9.4,107.0,9.4
HI,Hawaii,2021,92849.0,8.1,24.0,13.7
ID,Idaho,2021,138516.0,9.8,16.0,
IL,Illinois,2021,860395.0,8.7,124.0,9.1
IN,Indiana,2021,536397.0,10.3,70.0,9.4
IA,Iowa,2021,224466.0,9.1,39.0,11.1
KS,Kansas,2021,235953.0,10.6,37.0,12.5
KY,Kentucky,2021,408801.0,11.7,22.0,4.0
LA,Louisiana,2021,344842.0,9.7,45.0,9.3
ME,Maine,2021,138396.0,12.5,,
MD,Maryland,2021,451158.0,9.4,79.0,11.2
MA,Massachusetts,2021,661306.0,11.7,78.0,9.8
MI,Michigan,2021,908568.0,11.5,94.0,8.6
MN,Minnesota,2021,387219.0,8.8,58.0,8.5
MS,Mississippi,2021,226646.0,10.0,45.0,15.3
MO,Missouri,2021,449253.0,9.4,75.0,11.5
MT,Montana,2021,83698.0,9.7,,
NE,Nebraska,2021,122491.0,8.2,25.0,11.4
NV,Nevada,2021,223954.0,9.1,28.0,8.3
NH,New Hampshire,2021,136025.0,12.1,11.0,
NJ,New Jersey,2021,646963.0,8.9,119.0,11.8
NM,New Mexico,2021,173518.0,10.6,26.0,10.3
NY,New York,2021,1563485.0,9.8,248.0,10.6
NC,North Carolina,2021,717344.0,8.7,108.0,8.9
ND,North Dakota,2021,50012.0,8.4,10.0,
OH,Ohio,2021,955568.0,10.4,124.0,9.8
OK,Oklahoma,2021,326087.0,10.9,47.0,11.0
OR,Oregon,2021,377851.0,11.2,67.0,13.0
PA,Pennsylvania,2021,1062292.0,10.3,143.0,9.3
RI,Rhode Island,2021,111498.0,12.6,,
SC,South Carolina,2021,372607.0,9.2,71.0,12.3
SD,South Dakota,2021,55927.0,8.3,,
TN,Tennessee,2021,558276.0,10.3,83.0,11.3
TX,Texas,2021,1854306.0,8.4,295.0,10.1
UT,Utah,2021,231080.0,9.7,24.0,8.6
VT,Vermont,2021,61465.0,11.8,,
VA,Virginia,2021,661945.0,9.8,85.0,9.1
WA,Washington,2021,641131.0,10.5,85.0,10.1
WV,West Virginia,2021,171141.0,12.1,16.0,
WI,Wisconsin,2021,498228.0,10.8,67.0,10.1
WY,Wyoming,2021,43188.0,9.7,10.0,
,Guam,2021,4997.0,4.7,,
,Puerto Rico,2021,311148.0,11.4,,
,Virgin Islands,2021,3920.0,5.0,,
AL,Alabama,2020,341720.0,9.0,63.0,12.2
AK,Alaska,2020,48173.0,8.9,15.0,
AZ,Arizona,2020,550729.0,9.6,121.0,14.6
AR,Arkansas,2020,210340.0,9.1,33.0,10.6
CA,California,2020,2848466.0,9.3,446.0,10.4
CO,Colorado,2020,434782.0,9.6,58.0,9.0
CT,Connecticut,2020,299193.0,10.6,43.0,10.0
DE,Delaware,2020,83428.0,10.8,13.0,
,District of Columbia,2020,59464.0,10.4,14.0,
FL,Florida,2020,1276625.0,7.3,227.0,8.9
GA,Georgia,2020,736912.0,9.0,119.0,10.8
