Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,90th Percentile AQI,Median AQI,Number With Current Asthma,Percent With Current Asthma
2021,Alabama,0.72679,0.27137,0.00147,0.00037,0,0,57,40.53333,394199,10.1
2021,Alaska,0.88674,0.09987,0.00858,0.00481,0,0,45.625,20.625,49453,9
2021,Arizona,0.61103,0.32257,0.03583,0.01497,0.01538,0.00021,76.76923,50.38462,519749,9.4
2021,Arkansas,0.67906,0.31919,0.00174,0,0,0,58.81818,42.63636,207857,9
2021,California,0.50049,0.41651,0.05529,0.02198,0.00352,0.0022,89.83019,51.22642,2694396,8.8
2021,Colorado,0.68531,0.27242,0.03863,0.00355,0,9.00E-05,73.25806,39.70968,476932,10.4
2021,Connecticut,0.75941,0.21717,0.02006,0.00335,0,0,63.75,40.375,300910,10.5
2021,Delaware,0.67179,0.3227,0.0055,0,0,0,60.66667,43.33333,77695,9.8
2021,Florida,0.75141,0.24823,0.00036,0,0,0,53.21053,40.92105,2023500,9.5
2021,Georgia,0.68539,0.31081,0.0037,0.0001,0,0,59.13793,42.65517,772663,9.4
2021,Hawaii,0.97807,0.02193,0,0,0,0,36.75,23.25,92849,8.1
2021,Idaho,0.68493,0.28572,0.02138,0.00754,0.00043,0,69.47368,36.68421,138516,9.8
2021,Illinois,0.61101,0.38138,0.00737,0.00024,0,0,63.26087,45.95652,860395,8.7
2021,Indiana,0.70184,0.29534,0.00274,8.00E-05,0,0,59.33333,41.57576,536397,10.3
2021,Iowa,0.6399,0.35647,0.00274,0.00089,0,0,60.625,44,224466,9.1
2021,Kansas,0.68036,0.3111,0.00776,0.00025,0.00028,0.00025,57.63636,39.54545,235953,10.6
2021,Kentucky,0.7584,0.2392,0.00229,0.00011,0,0,56.80769,41.46154,408801,11.7
2021,Louisiana,0.7574,0.24058,0.00165,0.00038,0,0,54.95455,39.31818,344842,9.7
2021,Maine,0.89115,0.10377,0.0048,0.00027,0,0,50.6,34.9,138396,12.5
2021,Maryland,0.76488,0.22795,0.00717,0,0,0,59.8125,41.25,451158,9.4
2021,Massachusetts,0.74187,0.25348,0.00444,0.00021,0,0,56.53846,40,661306,11.7
2021,Michigan,0.71814,0.27498,0.00687,0,0,0,60.62963,40.07407,908568,11.5
2021,Minnesota,0.74716,0.24021,0.00795,0.00387,0.00081,0,60.19048,37,387219,8.8
2021,Mississippi,0.70222,0.29751,0.00027,0,0,0,55.3,42.5,226646,10
2021,Missouri,0.78178,0.21376,0.00419,0.00026,0,0,55.42857,39.95238,449253,9.4
2021,Montana,0.71726,0.24727,0.02773,0.00759,0.00015,0,71.68421,34.47368,83698,9.7
2021,Nebraska,0.77135,0.22326,0.00538,0,0,0,54.9,34.3,122491,8.2
2021,Nevada,0.68492,0.26559,0.02848,0.01431,0.00609,0.00061,77.11111,41.44444,223954,9.1
2021,New Hampshire,0.8612,0.13382,0.00498,0,0,0,52.14286,37.42857,136025,12.1
2021,New Jersey,0.69381,0.29808,0.00786,0.00025,0,0,59.9375,42.375,646963,8.9
2021,New Mexico,0.75857,0.22356,0.01513,0.00205,0.00017,0.00052,59.9375,35.125,173518,10.6
2021,New York,0.81028,0.18331,0.00581,0.00061,0,0,54.88889,37.62963,1563485,9.8
2021,North Carolina,0.78409,0.21518,0.00073,0,0,0,55.83333,40.25,717344,8.7
2021,North Dakota,0.75015,0.21804,0.0205,0.01101,0.00031,0,69.33333,38.44444,50012,8.4
2021,Ohio,0.7098,0.28693,0.0032,7.00E-05,0,0,59.53846,40.51282,955568,10.4
2021,Oklahoma,0.65001,0.33882,0.01034,0.00083,0,0,63.4,44.8,326087,10.9
2021,Oregon,0.73607,0.23517,0.01337,0.01301,0.00226,0.00012,66.3913,34.13043,377851,11.2
2021,Pennsylvania,0.64993,0.34369,0.00604,0.00034,0,0,62.325,43.6,1062292,10.3
2021,Puerto Rico,0.80587,0.18735,0.0046,0.00079,0.00092,0.00046,51.1,25.3,311148,11.4
2021,Rhode Island,0.77635,0.21534,0.00831,0,0,0,56,38.33333,111498,12.6
2021,South Carolina,0.74796,0.25125,0.00079,0,0,0,57.07143,41.21429,372607,9.2
2021,South Dakota,0.77969,0.20696,0.00818,0.00324,0.00194,0,61.7,35.4,55927,8.3
2021,Tennessee,0.73512,0.26224,0.00265,0,0,0,57.91304,40.26087,558276,10.3
2021,Texas,0.70011,0.28989,0.00896,0.00098,6.00E-05,0,59.93333,40.55556,1854306,8.4
2021,Utah,0.65238,0.31198,0.03216,0.00347,0,0,75.66667,43.86667,231080,9.7
2021,Vermont,0.83057,0.16738,0.00205,0,0,0,50.25,32,61465,11.8
2021,Virgin Islands,0.84937,0.15063,0,0,0,0,53.5,25,3920,5
2021,Virginia,0.8478,0.1507,0.0015,0,0,0,47.59375,33.21875,661945,9.8
2021,Washington,0.80589,0.17804,0.00723,0.00705,0.00161,0.00018,55.83871,31.12903,641131,10.5
2021,West Virginia,0.77843,0.22137,0.0002,0,0,0,56.57143,37.64286,171141,12.1
2021,Wisconsin,0.72111,0.26962,0.00879,0.00047,0,0,63.55172,41.41379,498228,10.8
2021,Wyoming,0.78067,0.20151,0.0163,0.00061,0.00015,0.00077,64.88889,35.55556,43188,9.7
2020,Alabama,0.73709,0.262,0.00092,0,0,0,55.33333,39.6,341720,9
2020,Alaska,0.90678,0.08137,0.00578,0.00607,0,0,44,18.77778,48173,8.9
2020,Arizona,0.64738,0.28427,0.03535,0.0164,0.01597,0.00063,75.92308,48.53846,550729,9.6
2020,Arkansas,0.74473,0.25378,0.00149,0,0,0,54.81818,39.18182,210340,9.1
2020,California,0.5088,0.38435,0.05951,0.03625,0.00773,0.00336,95.58491,51.84906,2848466,9.3
2020,Colorado,0.7247,0.25493,0.0183,0.00197,9.00E-05,0,63,38.25806,434782,9.6
2020,Connecticut,0.77737,0.21118,0.01008,0.00137,0,0,59.75,41,299193,10.6
2020,Delaware,0.74342,0.25476,0.00182,0,0,0,57.66667,42.33333,83428,10.8
2020,Florida,0.75325,0.24479,0.00151,0.00046,0,0,54.07692,40.58974,1276625,7.3
2020,Georgia,0.76227,0.23585,0.00188,0,0,0,54.41379,39.06897,736912,9
2020,Hawaii,0.98135,0.01865,0,0,0,0,35.5,21.75,96890,8.8
2020,Idaho,0.75156,0.22563,0.01096,0.00783,0.00318,0.00083,59.95,32.15,127406,9.4
2020,Illinois,0.68157,0.30906,0.00832,0.00105,0,0,60.04348,43.3913,832244,8.5
2020,Indiana,0.7417,0.25451,0.00339,0.0004,0,0,55.55882,40.23529,497539,9.6
2020,Iowa,0.72057,0.27806,0.00086,0.00051,0,0,56.4375,40.3125,220085,9.1
2020,Kansas,0.76573,0.22925,0.00452,0.0005,0,0,53.18182,35,216312,9.8
2020,Kentucky,0.84187,0.15687,0.00126,0,0,0,51.5,38.42308,395633,11.5
2020,Louisiana,0.76551,0.23211,0.00238,0,0,0,55.18182,38.27273,276711,7.8
2020,Maine,0.91259,0.08686,0.00027,0,0.00027,0,48.5,35.5,115621,10.6
2020,Maryland,0.87839,0.12044,0.00117,0,0,0,51.4375,38.0625,420686,8.9
2020,Massachusetts,0.77803,0.22069,0.00128,0,0,0,54.76923,40.30769,592048,10.7
2020,Michigan,0.82395,0.16381,0.01144,0.0008,0,0,54.7037,35.51852,859534,11
2020,Minnesota,0.85982,0.13901,0.00091,0.00026,0,0,49.66667,33.28571,369238,8.5
2020,Mississippi,0.69611,0.30333,0.00056,0,0,0,55.7,42.9,201273,8.9
2020,Missouri,0.81521,0.18108,0.00345,0.00026,0,0,53.28571,37.90476,441777,9.3
2020,Montana,0.81649,0.16815,0.00782,0.00653,0.00072,0.00029,52.84211,29.57895,89552,10.6
2020,Nebraska,0.83941,0.15848,0.00181,0.0003,0,0,49.44444,30.22222,114104,7.8
2020,Nevada,0.74621,0.2212,0.01919,0.01066,0.00243,0.00031,64.77778,39.11111,230431,9.5
2020,New Hampshire,0.9121,0.0879,0,0,0,0,48.71429,37.57143,127113,11.5
2020,New Jersey,0.75024,0.24797,0.00179,0,0,0,56.3125,40.5,598649,8.7
2020,New Mexico,0.79319,0.19738,0.00789,0.00068,0.00034,0.00052,55,33.8125,162657,10.1
2020,New York,0.86014,0.13794,0.00172,0.0002,0,0,51.92593,36,1449094,9.5
2020,North Carolina,0.86659,0.13291,0.0005,0,0,0,50.33333,36.36111,645784,7.8
2020,North Dakota,0.90812,0.09188,0,0,0,0,48.44444,35.44444,49883,8.6
2020,Ohio,0.79317,0.20238,0.00424,0.00021,0,0,53.95,37.825,895631,9.9
2020,Oklahoma,0.72679,0.27044,0.00247,0.00031,0,0,57.38889,41.61111,322759,10.8
2020,Oregon,0.72314,0.24282,0.00833,0.00924,0.00548,0.011,65.86957,33.69565,356958,10.6
2020,Pennsylvania,0.75677,0.24013,0.00304,7.00E-05,0,0,55.8,40.425,1032246,10.2
2020,Puerto Rico,0.88355,0.10972,0.00327,0.00256,0.00028,0.00062,46.81818,20.63636,283602,10.4
2020,Rhode Island,0.80718,0.18824,0.00366,0.00091,0,0,53,38,103190,12.1
2020,South Carolina,0.84187,0.15677,0.00137,0,0,0,51.14286,37.5,385741,9.4
2020,South Dakota,0.84887,0.15004,0.00109,0,0,0,53.3,35.4,53990,8.1
2020,Tennessee,0.82006,0.17862,0.00109,0.00024,0,0,52.73913,37.08696,552156,10.3
2020,Texas,0.71991,0.27096,0.00768,0.00146,0,0,58.86667,39.6,1617392,7.4
2020,Utah,0.71028,0.27513,0.01313,0.00128,0.00018,0,64.66667,42.86667,249663,10.8
2020,Vermont,0.875,0.125,0,0,0,0,46,31.75,54781,10.8
2020,Virginia,0.91783,0.08208,9.00E-05,0,0,0,44.6129,31.29032,571162,8.6
2020,Washington,0.80645,0.1697,0.00393,0.00754,0.00733,0.00504,55.32258,29.58065,579774,9.6
2020,West Virginia,0.87422,0.12529,0.00049,0,0,0,51,35.35714,175011,12.4
2020,Wisconsin,0.79276,0.19695,0.00944,0.00085,0,0,56.77778,38.77778,465109,10.2
2020,Wyoming,0.85346,0.13525,0.00861,0.00228,0.00025,0.00015,53.22222,35.94444,44192,10
2018,Alabama,0.69769,0.30073,0.00124,0.00034,0,0,58.17647,41.41176,394634,10.5
2018,Alaska,0.86693,0.11834,0.01096,0.00377,0,0,51.25,25.875,50685,9.2
2018,Arizona,0.62803,0.33467,0.03162,0.00274,0.00126,0.00169,72.69231,44.46154,545104,10
2018,Arkansas,0.66453,0.33296,0.00252,0,0,0,58.83333,42.83333,225853,9.8
2018,California,0.4606,0.44518,0.06382,0.02489,0.00468,0.00083,89.0566,52.56604,2607598,8.5
2018,Colorado,0.67837,0.29422,0.02473,0.00235,0.00033,0,68.78788,40.27273,399357,9.1
2018,Connecticut,0.76923,0.20509,0.0226,0.00308,0,0,62,39.875,290278,10.3
2018,Delaware,0.67123,0.31781,0.01096,0,0,0,63.66667,44,77035,10.1
2018,Florida,0.77448,0.22319,0.00219,0.00014,0,0,54.23077,39.35897,1495632,8.7
2018,Georgia,0.71765,0.28001,0.00235,0,0,0,57.13793,40.62069,714569,8.9
2018,Hawaii,0.82445,0.16596,0.00822,0.00137,0,0,51.25,32.25,104368,9.3
2018,Idaho,0.72413,0.25876,0.01428,0.00254,0.00029,0,62.9,33.7,111954,8.6
2018,Illinois,0.63183,0.35692,0.01005,0.0012,0,0,62.69565,44.86957,860007,8.7
2018,Indiana,0.72035,0.27077,0.00858,0.0003,0,0,58.10811,40.56757,509651,10
2018,Iowa,0.60024,0.39618,0.00358,0,0,0,60.6875,45,190960,7.9
2018,Kansas,0.77327,0.22548,0.001,0.00025,0,0,55.90909,35.72727,214698,9.8
2018,Kentucky,0.74066,0.25708,0.0019,0.00036,0,0,57.07407,41.74074,395345,11.5
2018,Louisiana,0.71824,0.27689,0.00474,0.00012,0,0,59.36364,39.90909,316423,8.9
2018,Maine,0.8686,0.12894,0.00191,0.00027,0.00027,0,52.1,37.2,132126,12.3
2018,Maryland,0.71012,0.2796,0.00995,0.00034,0,0,63.75,42.9375,439909,9.3
2018,Massachusetts,0.75046,0.24214,0.00741,0,0,0,56.69231,40.15385,558435,10.2
2018,Michigan,0.77692,0.21025,0.012,0.00083,0,0,59.32143,38.35714,872519,11.2
2018,Minnesota,0.76954,0.22854,0.00192,0,0,0,57.28571,37.09524,357232,8.3
2018,Mississippi,0.68734,0.30932,0.00309,0.00025,0,0,59,42.54545,218223,9.7
2018,Missouri,0.73523,0.25719,0.00745,0.00013,0,0,62.04762,41.2381,444334,9.4
2018,Montana,0.75756,0.22559,0.01309,0.00376,0,0,60.68421,33.94737,82660,10
2018,Nebraska,0.79228,0.2065,0.00122,0,0,0,52.77778,33,128793,8.9
2018,Nevada,0.71048,0.25602,0.03105,0.00183,0.00061,0,66.77778,38.44444,186787,8
2018,New Hampshire,0.86432,0.13293,0.00276,0,0,0,53.71429,38,128307,11.8
2018,New Jersey,0.66165,0.32486,0.01211,0.00138,0,0,63.9375,42.9375,593242,8.4
2018,New Mexico,0.73449,0.24504,0.0191,0.00137,0,0,64.0625,35.6875,157177,9.9
2018,New York,0.80592,0.1846,0.00888,0.0005,0.0001,0,55.60714,37,1578011,10.1
2018,North Carolina,0.75976,0.23886,0.00137,0,0,0,58.02778,40.86111,757790,9.4
2018,North Dakota,0.8145,0.18163,0.00332,0.00055,0,0,57,37.4,46996,8.2
2018,Ohio,0.71639,0.27584,0.00763,0.00014,0,0,60.525,40.125,854186,9.4
2018,Oklahoma,0.69599,0.29479,0.00885,0.00037,0,0,62.04,41.52,307581,10.3
2018,Oregon,0.70021,0.26827,0.01794,0.01153,0.00205,0,71.04348,36.56522,383340,11.6
2018,Pennsylvania,0.68394,0.30923,0.00646,0.00037,0,0,61.71795,41.79487,1012588,10
2018,Puerto Rico,0.72664,0.26191,0.00773,0.00372,0,0,50.85714,31.71429,303623,11.1
2018,Rhode Island,0.75761,0.22482,0.01757,0,0,0,58,39.33333,101251,11.9
2018,South Carolina,0.80761,0.19161,0.00079,0,0,0,53.33333,37.72222,360353,9.1
2018,South Dakota,0.81695,0.1781,0.00412,0,0,0.00083,54.1,35.8,51652,7.9
