State,Year,Number With Current Asthma,Percent With Current Asthma
Alabama,2021,394199.0,10.1
Alaska,2021,49453.0,9.0
Arizona,2021,519749.0,9.4
Arkansas,2021,207857.0,9.0
California,2021,2694396.0,8.8
Colorado,2021,476932.0,10.4
Connecticut,2021,300910.0,10.5
Delaware,2021,77695.0,9.8
District of Columbia,2021,64298.0,11.6
Florida,2021,,
Georgia,2021,772663.0,9.4
Hawaii,2021,92849.0,8.1
Idaho,2021,138516.0,9.8
Illinois,2021,860395.0,8.7
Indiana,2021,536397.0,10.3
Iowa,2021,224466.0,9.1
Kansas,2021,235953.0,10.6
Kentucky,2021,408801.0,11.7
Louisiana,2021,344842.0,9.7
Maine,2021,138396.0,12.5
Maryland,2021,451158.0,9.4
Massachusetts,2021,661306.0,11.7
Michigan,2021,908568.0,11.5
Minnesota,2021,387219.0,8.8
Mississippi,2021,226646.0,10.0
Missouri,2021,449253.0,9.4
Montana,2021,83698.0,9.7
Nebraska,2021,122491.0,8.2
Nevada,2021,223954.0,9.1
New Hampshire,2021,136025.0,12.1
New Jersey,2021,646963.0,8.9
New Mexico,2021,173518.0,10.6
New York,2021,1563485.0,9.8
North Carolina,2021,717344.0,8.7
North Dakota,2021,50012.0,8.4
Ohio,2021,955568.0,10.4
Oklahoma,2021,326087.0,10.9
Oregon,2021,377851.0,11.2
Pennsylvania,2021,1062292.0,10.3
Rhode Island,2021,111498.0,12.6
South Carolina,2021,372607.0,9.2
South Dakota,2021,55927.0,8.3
Tennessee,2021,558276.0,10.3
Texas,2021,1854306.0,8.4
Utah,2021,231080.0,9.7
Vermont,2021,61465.0,11.8
Virginia,2021,661945.0,9.8
Washington,2021,641131.0,10.5
West Virginia,2021,171141.0,12.1
Wisconsin,2021,498228.0,10.8
Wyoming,2021,43188.0,9.7
Guam,2021,4997.0,4.7
Puerto Rico,2021,311148.0,11.4
Virgin Islands,2021,3920.0,5.0
Alabama,2020,341720.0,9.0
Alaska,2020,48173.0,8.9
Arizona,2020,550729.0,9.6
Arkansas,2020,210340.0,9.1
California,2020,2848466.0,9.3
Colorado,2020,434782.0,9.6
Connecticut,2020,299193.0,10.6
Delaware,2020,83428.0,10.8
District of Columbia,2020,59464.0,10.4
Florida,2020,1276625.0,7.3
Georgia,2020,736912.0,9.0
Hawaii,2020,96890.0,8.8
Idaho,2020,127406.0,9.4
Illinois,2020,832244.0,8.5
Indiana,2020,497539.0,9.6
Iowa,2020,220085.0,9.1
Kansas,2020,216312.0,9.8
Kentucky,2020,395633.0,11.5
Louisiana,2020,276711.0,7.8
Maine,2020,115621.0,10.6
Maryland,2020,420686.0,8.9
Massachusetts,2020,592048.0,10.7
Michigan,2020,859534.0,11.0
Minnesota,2020,369238.0,8.5
Mississippi,2020,201273.0,8.9
Missouri,2020,441777.0,9.3
Montana,2020,89552.0,10.6
Nebraska,2020,114104.0,7.8
Nevada,2020,230431.0,9.5
New Hampshire,2020,127113.0,11.5
New Jersey,2020,598649.0,8.7
New Mexico,2020,162657.0,10.1
New York,2020,1449094.0,9.5
North Carolina,2020,645784.0,7.8
North Dakota,2020,49883.0,8.6
Ohio,2020,895631.0,9.9
Oklahoma,2020,322759.0,10.8
Oregon,2020,356958.0,10.6
Pennsylvania,2020,1032246.0,10.2
Rhode Island,2020,103190.0,12.1
South Carolina,2020,385741.0,9.4
South Dakota,2020,53990.0,8.1
Tennessee,2020,552156.0,10.3
Texas,2020,1617392.0,7.4
Utah,2020,249663.0,10.8
Vermont,2020,54781.0,10.8
Virginia,2020,571162.0,8.6
Washington,2020,579774.0,9.6
West Virginia,2020,175011.0,12.4
Wisconsin,2020,465109.0,10.2
Wyoming,2020,44192.0,10.0
Guam,2020,5369.0,5.0
Puerto Rico,2020,283602.0,10.4
Alabama,2019,360965.0,9.5
Alaska,2019,54239.0,9.9
Arizona,2019,544394.0,9.7
Arkansas,2019,215095.0,9.3
California,2019,2405797.0,7.8
Colorado,2019,434603.0,9.7
Connecticut,2019,297971.0,10.5
Delaware,2019,75119.0,9.8
District of Columbia,2019,65253.0,11.4
Florida,2019,1292568.0,7.4
Georgia,2019,620794.0,7.7
Hawaii,2019,106413.0,9.6
Idaho,2019,131709.0,10.0
Illinois,2019,808461.0,8.2
Indiana,2019,499841.0,9.8
Iowa,2019,194614.0,8.0
Kansas,2019,217474.0,9.9
Kentucky,2019,326678.0,9.5
Louisiana,2019,280621.0,7.9
Maine,2019,127896.0,11.8
Maryland,2019,424051.0,9.0
Massachusetts,2019,570379.0,10.3
Michigan,2019,867732.0,11.1
Minnesota,2019,358668.0,8.3
Mississippi,2019,225468.0,9.9
Missouri,2019,479037.0,10.1
Montana,2019,83280.0,10.0
Nebraska,2019,116768.0,8.0
Nevada,2019,224825.0,9.4
New Hampshire,2019,119305.0,10.8
New Jersey,2019,,
New Mexico,2019,134715.0,8.4
New York,2019,1419951.0,9.3
North Carolina,2019,681689.0,8.3
North Dakota,2019,47369.0,8.1
Ohio,2019,1009034.0,11.1
Oklahoma,2019,302947.0,10.2
Oregon,2019,369735.0,11.1
Pennsylvania,2019,1104033.0,10.9
Rhode Island,2019,94817.0,11.2
South Carolina,2019,376358.0,9.4
South Dakota,2019,56510.0,8.5
Tennessee,2019,463655.0,8.8
Texas,2019,1532311.0,7.1
Utah,2019,223768.0,9.9
Vermont,2019,59140.0,11.6
Virginia,2019,586339.0,8.8
Washington,2019,590642.0,9.9
West Virginia,2019,164016.0,11.5
Wisconsin,2019,460075.0,10.2
Wyoming,2019,41968.0,9.5
Guam,2019,5556.0,5.2
Puerto Rico,2019,287511.0,10.5
Alabama,2018,394634.0,10.5
Alaska,2018,50685.0,9.2
Arizona,2018,545104.0,10.0
Arkansas,2018,225853.0,9.8
California,2018,2607598.0,8.5
Colorado,2018,399357.0,9.1
Connecticut,2018,290278.0,10.3
Delaware,2018,77035.0,10.1
District of Columbia,2018,66441.0,11.6
Florida,2018,1495632.0,8.7
Georgia,2018,714569.0,8.9
Hawaii,2018,104368.0,9.3
Idaho,2018,111954.0,8.6
Illinois,2018,860007.0,8.7
Indiana,2018,509651.0,10.0
Iowa,2018,190960.0,7.9
Kansas,2018,214698.0,9.8
Kentucky,2018,395345.0,11.5
Louisiana,2018,316423.0,8.9
Maine,2018,132126.0,12.3
Maryland,2018,439909.0,9.3
Massachusetts,2018,558435.0,10.2
Michigan,2018,872519.0,11.2
Minnesota,2018,357232.0,8.3
Mississippi,2018,218223.0,9.7
Missouri,2018,444334.0,9.4
Montana,2018,82660.0,10.0
Nebraska,2018,128793.0,8.9
Nevada,2018,186787.0,8.0
New Hampshire,2018,128307.0,11.8
New Jersey,2018,593242.0,8.4
