Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,% Ozone Days,% PM2.5 Days,90th Percentile AQI,Median AQI
2021,Alabama,0.72679,0.27137,0.00147,0.00037,0.0,0.0,0.40902,0.58837,57.0,40.53333
2021,Alaska,0.88674,0.09987,0.00858,0.00481,0.0,0.0,0.14657,0.80248,45.625,20.625
2021,Arizona,0.61103,0.32257,0.03583,0.01497,0.01538,0.00021,0.59239,0.16044,76.76923,50.38462
2021,Arkansas,0.67906,0.31919,0.00174,0.0,0.0,0.0,0.30562,0.69338,58.81818,42.63636
2021,California,0.50049,0.41651,0.05529,0.02198,0.00352,0.0022,0.48027,0.48432,89.83019,51.22642
2021,Colorado,0.68531,0.27242,0.03863,0.00355,0.0,9e-05,0.63287,0.20262,73.25806,39.70968
2021,Connecticut,0.75941,0.21717,0.02006,0.00335,0.0,0.0,0.64355,0.34582,63.75,40.375
2021,Country Of Mexico,0.49537,0.41422,0.05616,0.03425,0.0,0.0,0.5,0.5,90.5,51.5
2021,Delaware,0.67179,0.3227,0.0055,0.0,0.0,0.0,0.50643,0.49357,60.66667,43.33333
2021,District Of Columbia,0.47123,0.50685,0.01918,0.00274,0.0,0.0,0.29589,0.64384,71.0,51.0
2021,Florida,0.75141,0.24823,0.00036,0.0,0.0,0.0,0.44933,0.5224,53.21053,40.92105
2021,Georgia,0.68539,0.31081,0.0037,0.0001,0.0,0.0,0.37134,0.62658,59.13793,42.65517
2021,Hawaii,0.97807,0.02193,0.0,0.0,0.0,0.0,0.18288,0.78624,36.75,23.25
2021,Idaho,0.68493,0.28572,0.02138,0.00754,0.00043,0.0,0.12126,0.85767,69.47368,36.68421
2021,Illinois,0.61101,0.38138,0.00737,0.00024,0.0,0.0,0.4599,0.52014,63.26087,45.95652
2021,Indiana,0.70184,0.29534,0.00274,8e-05,0.0,0.0,0.5356,0.46154,59.33333,41.57576
2021,Iowa,0.6399,0.35647,0.00274,0.00089,0.0,0.0,0.23873,0.68799,60.625,44.0
2021,Kansas,0.68036,0.3111,0.00776,0.00025,0.00028,0.00025,0.30982,0.49936,57.63636,39.54545
2021,Kentucky,0.7584,0.2392,0.00229,0.00011,0.0,0.0,0.5935,0.4006,56.80769,41.46154
2021,Louisiana,0.7574,0.24058,0.00165,0.00038,0.0,0.0,0.47219,0.51636,54.95455,39.31818
2021,Maine,0.89115,0.10377,0.0048,0.00027,0.0,0.0,0.72857,0.26401,50.6,34.9
2021,Maryland,0.76488,0.22795,0.00717,0.0,0.0,0.0,0.64821,0.31913,59.8125,41.25
2021,Massachusetts,0.74187,0.25348,0.00444,0.00021,0.0,0.0,0.46993,0.52395,56.53846,40.0
2021,Michigan,0.71814,0.27498,0.00687,0.0,0.0,0.0,0.55342,0.40762,60.62963,40.07407
2021,Minnesota,0.74716,0.24021,0.00795,0.00387,0.00081,0.0,0.40141,0.58411,60.19048,37.0
2021,Mississippi,0.70222,0.29751,0.00027,0.0,0.0,0.0,0.42198,0.57802,55.3,42.5
