"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2018,270,232,38,0,0,0,0,97,54,37,0,0,194,76,0
"Alabama","Clay",2018,110,86,24,0,0,0,0,68,54,36,0,0,0,110,0
"Alabama","Colbert",2018,277,235,42,0,0,0,0,93,54,37,0,0,184,93,0
"Alabama","DeKalb",2018,350,302,48,0,0,0,0,84,54,36,0,0,286,64,0
"Alabama","Elmore",2018,222,203,19,0,0,0,0,71,49,33,0,0,222,0,0
"Alabama","Etowah",2018,324,169,154,0,1,0,0,154,65,48,0,0,120,204,0
"Alabama","Houston",2018,277,230,47,0,0,0,0,80,54,37,0,0,191,86,0
"Alabama","Jefferson",2018,365,98,263,3,1,0,0,156,76,56,0,1,65,297,2
"Alabama","Lawrence",2018,118,99,19,0,0,0,0,66,54,31,0,0,0,118,0
"Alabama","Madison",2018,365,194,170,1,0,0,0,115,62,49,0,0,71,293,1
"Alabama","Mobile",2018,359,218,140,1,0,0,0,105,61,44,0,0,103,256,0
"Alabama","Montgomery",2018,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0
"Alabama","Morgan",2018,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0
"Alabama","Russell",2018,364,199,165,0,0,0,0,99,64,48,0,0,66,298,0
"Alabama","Shelby",2018,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0
"Alabama","Sumter",2018,357,327,30,0,0,0,0,77,48,31,0,0,202,155,0
"Alabama","Tuscaloosa",2018,320,223,96,1,0,0,0,115,60,42,0,0,165,155,0
"Alaska","Aleutians East ",2018,120,120,0,0,0,0,0,46,28,13,0,0,0,120,0
"Alaska","Anchorage ",2018,365,288,77,0,0,0,0,87,60,30,0,0,0,288,77
"Alaska","Bethel ",2018,202,194,8,0,0,0,0,77,37,19,0,0,0,157,45
"Alaska","Denali ",2018,364,361,3,0,0,0,0,58,44,35,0,0,363,1,0
"Alaska","Fairbanks North Star ",2018,365,215,111,29,10,0,0,158,103,40,0,9,90,264,2
"Alaska","Juneau ",2018,352,268,84,0,0,0,0,85,59,31,0,0,0,349,3
"Alaska","Kenai Peninsula ",2018,120,120,0,0,0,0,0,36,21,10,0,0,0,120,0
"Alaska","Matanuska-Susitna ",2018,365,308,53,3,1,0,0,151,58,29,0,0,182,165,18
"Arizona","Apache",2018,358,354,4,0,0,0,0,58,27,13,0,0,0,58,300
"Arizona","Cochise",2018,365,266,99,0,0,0,0,90,63,45,0,0,293,50,22
"Arizona","Coconino",2018,365,236,126,3,0,0,0,126,77,45,0,0,351,14,0
"Arizona","Gila",2018,365,220,122,22,1,0,0,171,87,47,0,0,328,2,35
"Arizona","La Paz",2018,364,257,104,3,0,0,0,105,71,44,0,0,335,24,5
"Arizona","Maricopa",2018,365,49,252,57,4,3,0,274,115,71,0,6,178,85,96
"Arizona","Mohave",2018,363,349,13,1,0,0,0,105,35,18,0,0,0,54,309
"Arizona","Navajo",2018,363,260,101,2,0,0,0,115,74,44,0,0,353,3,7
"Arizona","Pima",2018,365,164,190,11,0,0,0,129,84,52,0,0,224,79,62
"Arizona","Pinal",2018,365,71,243,34,6,3,8,1051,108,67,0,0,120,53,192
"Arizona","Santa Cruz",2018,365,252,111,1,1,0,0,194,63,39,0,0,0,316,49
"Arizona","Yavapai",2018,365,289,75,1,0,0,0,101,61,44,0,0,362,3,0
"Arizona","Yuma",2018,365,202,147,15,1,0,0,169,80,49,0,0,178,129,58
"Arkansas","Arkansas",2018,118,79,39,0,0,0,0,91,59,43,0,0,0,118,0
"Arkansas","Ashley",2018,121,82,38,1,0,0,0,103,58,39,0,0,0,121,0
"Arkansas","Clark",2018,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0
"Arkansas","Craighead",2018,90,54,36,0,0,0,0,75,61,46,0,0,0,90,0
"Arkansas","Crittenden",2018,365,206,156,3,0,0,0,115,61,47,0,2,87,276,0
"Arkansas","Garland",2018,121,77,44,0,0,0,0,88,59,42,0,0,0,121,0
"Arkansas","Jackson",2018,122,82,40,0,0,0,0,74,58,41,0,0,0,122,0
"Arkansas","Newton",2018,364,326,38,0,0,0,0,84,51,36,0,0,331,33,0
"Arkansas","Polk",2018,363,293,70,0,0,0,0,93,57,40,0,0,287,76,0
"Arkansas","Pulaski",2018,365,164,199,2,0,0,0,122,66,52,0,1,86,278,0
"Arkansas","Union",2018,365,189,173,3,0,0,0,122,63,49,0,0,0,365,0
"Arkansas","Washington",2018,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0
"California","Alameda",2018,365,77,271,5,9,3,0,248,79,57,0,1,22,342,0
"California","Amador",2018,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0
"California","Butte",2018,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1
"California","Calaveras",2018,364,52,292,14,6,0,0,160,87,58,0,0,71,293,0
"California","Colusa",2018,365,206,131,10,17,1,0,299,84,46,0,0,138,210,17
"California","Contra Costa",2018,365,111,236,7,8,3,0,270,74,55,0,0,45,320,0
"California","Del Norte",2018,180,134,46,0,0,0,0,80,58,33,0,0,0,180,0
"California","El Dorado",2018,365,221,107,27,9,1,0,203,101,45,0,0,347,9,9
"California","Fresno",2018,365,61,206,79,19,0,0,185,133,75,0,0,210,151,4
"California","Glenn",2018,363,242,105,9,6,1,0,255,71,39,0,0,130,185,48
"California","Humboldt",2018,365,301,58,5,1,0,0,167,58,35,0,2,231,117,15
"California","Imperial",2018,365,67,248,41,7,2,0,286,108,64,0,4,103,164,94
"California","Inyo",2018,365,192,136,26,7,2,2,638,101,49,0,0,291,44,30
"California","Kern",2018,365,45,190,103,27,0,0,190,142,84,0,0,226,126,13
"California","Kings",2018,365,68,239,49,9,0,0,190,114,70,0,0,161,160,44
"California","Lake",2018,357,344,10,1,1,1,0,233,43,33,0,0,343,12,2
"California","Los Angeles",2018,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1
"California","Madera",2018,365,122,208,30,5,0,0,169,100,58,0,0,181,160,24
"California","Marin",2018,365,235,117,3,9,1,0,243,63,43,0,11,85,269,0
"California","Mariposa",2018,365,156,169,10,13,15,2,352,108,53,0,0,226,139,0
"California","Mendocino",2018,364,217,126,13,6,1,1,376,69,46,0,0,81,282,1
"California","Merced",2018,365,110,214,32,9,0,0,178,101,56,0,1,139,224,1
"California","Mono",2018,365,252,84,14,10,3,2,1049,85,27,0,0,0,234,131
"California","Monterey",2018,365,258,100,5,2,0,0,157,57,42,0,0,149,189,27
"California","Napa",2018,364,210,142,4,8,0,0,195,65,46,1,1,99,262,1
"California","Nevada",2018,363,231,104,19,7,2,0,218,87,45,0,0,311,52,0
"California","Orange",2018,365,114,233,15,3,0,0,160,86,54,0,17,114,231,3
"California","Placer",2018,365,213,127,16,7,2,0,248,84,46,0,12,176,174,3
"California","Plumas",2018,350,186,154,8,2,0,0,162,85,47,0,0,0,350,0
"California","Riverside",2018,365,32,193,102,32,6,0,296,153,87,0,1,210,117,37
"California","Sacramento",2018,365,104,226,22,6,5,2,376,100,58,0,1,131,229,4
"California","San Benito",2018,365,270,84,11,0,0,0,143,63,42,0,0,286,78,1
"California","San Bernardino",2018,365,14,197,96,51,7,0,221,164,89,0,5,197,159,4
"California","San Diego",2018,365,28,302,35,0,0,0,143,100,67,0,0,162,203,0
"California","San Francisco",2018,365,222,129,2,10,2,0,252,66,44,1,23,86,254,1
"California","San Joaquin",2018,365,91,241,20,8,4,1,365,99,59,0,0,85,276,4
"California","San Luis Obispo",2018,365,147,209,9,0,0,0,133,77,53,0,0,172,168,25
"California","San Mateo",2018,365,236,116,3,10,0,0,197,61,42,0,13,90,262,0
"California","Santa Barbara",2018,365,173,190,2,0,0,0,114,67,51,0,0,167,188,10
"California","Santa Clara",2018,365,154,194,6,9,2,0,214,72,53,0,2,94,269,0
