Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,% Ozone Days,% PM2.5 Days,90th Percentile AQI,Median AQI,"Age-Adjusted Mortality (per 100,000)"
2021,Alabama,0.72679,0.27137,0.00147,0.00037,0,0,0.40902,0.58837,57,40.53333,140.8
2021,Alaska,0.88674,0.09987,0.00858,0.00481,0,0,0.14657,0.80248,45.625,20.625,93.1
2021,Arizona,0.61103,0.32257,0.03583,0.01497,0.01538,0.00021,0.59239,0.16044,76.76923,50.38462,101.3
2021,Arkansas,0.67906,0.31919,0.00174,0,0,0,0.30562,0.69338,58.81818,42.63636,170.9
2021,California,0.50049,0.41651,0.05529,0.02198,0.00352,0.0022,0.48027,0.48432,89.83019,51.22642,71.6
2021,Colorado,0.68531,0.27242,0.03863,0.00355,0,9.00E-05,0.63287,0.20262,73.25806,39.70968,104.5
2021,Connecticut,0.75941,0.21717,0.02006,0.00335,0,0,0.64355,0.34582,63.75,40.375,64.8
2021,Country Of Mexico,0.49537,0.41422,0.05616,0.03425,0,0,0.5,0.5,90.5,51.5,
2021,Delaware,0.67179,0.3227,0.0055,0,0,0,0.50643,0.49357,60.66667,43.33333,98.6
2021,District Of Columbia,0.47123,0.50685,0.01918,0.00274,0,0,0.29589,0.64384,71,51,
2021,Florida,0.75141,0.24823,0.00036,0,0,0,0.44933,0.5224,53.21053,40.92105,88.4
2021,Georgia,0.68539,0.31081,0.0037,0.0001,0,0,0.37134,0.62658,59.13793,42.65517,114.4
2021,Hawaii,0.97807,0.02193,0,0,0,0,0.18288,0.78624,36.75,23.25,46
2021,Idaho,0.68493,0.28572,0.02138,0.00754,0.00043,0,0.12126,0.85767,69.47368,36.68421,118
2021,Illinois,0.61101,0.38138,0.00737,0.00024,0,0,0.4599,0.52014,63.26087,45.95652,86.8
2021,Indiana,0.70184,0.29534,0.00274,8.00E-05,0,0,0.5356,0.46154,59.33333,41.57576,143.5
2021,Iowa,0.6399,0.35647,0.00274,0.00089,0,0,0.23873,0.68799,60.625,44,110.4
2021,Kansas,0.68036,0.3111,0.00776,0.00025,0.00028,0.00025,0.30982,0.49936,57.63636,39.54545,114.2
2021,Kentucky,0.7584,0.2392,0.00229,0.00011,0,0,0.5935,0.4006,56.80769,41.46154,161.3
2021,Louisiana,0.7574,0.24058,0.00165,0.00038,0,0,0.47219,0.51636,54.95455,39.31818,108.9
2021,Maine,0.89115,0.10377,0.0048,0.00027,0,0,0.72857,0.26401,50.6,34.9,117.9
2021,Maryland,0.76488,0.22795,0.00717,0,0,0,0.64821,0.31913,59.8125,41.25,66.6
2021,Massachusetts,0.74187,0.25348,0.00444,0.00021,0,0,0.46993,0.52395,56.53846,40,72.9
2021,Michigan,0.71814,0.27498,0.00687,0,0,0,0.55342,0.40762,60.62963,40.07407,109.7
2021,Minnesota,0.74716,0.24021,0.00795,0.00387,0.00081,0,0.40141,0.58411,60.19048,37,79.7
2021,Mississippi,0.70222,0.29751,0.00027,0,0,0,0.42198,0.57802,55.3,42.5,163.9
2021,Missouri,0.78178,0.21376,0.00419,0.00026,0,0,0.59559,0.36149,55.42857,39.95238,125
2021,Montana,0.71726,0.24727,0.02773,0.00759,0.00015,0,0.24263,0.72749,71.68421,34.47368,107.2
2021,Nebraska,0.77135,0.22326,0.00538,0,0,0,0.21803,0.67895,54.9,34.3,110.8
2021,Nevada,0.68492,0.26559,0.02848,0.01431,0.00609,0.00061,0.60669,0.22466,77.11111,41.44444,111.6
2021,New Hampshire,0.8612,0.13382,0.00498,0,0,0,0.67682,0.32279,52.14286,37.42857,98.7
2021,New Jersey,0.69381,0.29808,0.00786,0.00025,0,0,0.4985,0.46771,59.9375,42.375,55.9
2021,New Mexico,0.75857,0.22356,0.01513,0.00205,0.00017,0.00052,0.46933,0.43136,59.9375,35.125,101.9
2021,New York,0.81028,0.18331,0.00581,0.00061,0,0,0.62735,0.3693,54.88889,37.62963,60.9
2021,North Carolina,0.78409,0.21518,0.00073,0,0,0,0.57258,0.41488,55.83333,40.25,101
2021,North Dakota,0.75015,0.21804,0.0205,0.01101,0.00031,0,0.5653,0.4298,69.33333,38.44444,92.4
2021,Ohio,0.7098,0.28693,0.0032,7.00E-05,0,0,0.50928,0.4085,59.53846,40.51282,115.5
2021,Oklahoma,0.65001,0.33882,0.01034,0.00083,0,0,0.51928,0.47853,63.4,44.8,168.5
2021,Oregon,0.73607,0.23517,0.01337,0.01301,0.00226,0.00012,0.11766,0.88138,66.3913,34.13043,93.7
2021,Pennsylvania,0.64993,0.34369,0.00604,0.00034,0,0,0.41567,0.57595,62.325,43.6,83.3
2021,Puerto Rico,0.80587,0.18735,0.0046,0.00079,0.00092,0.00046,0.06063,0.60942,51.1,25.3,
2021,Rhode Island,0.77635,0.21534,0.00831,0,0,0,0.4197,0.57665,56,38.33333,73.6
2021,South Carolina,0.74796,0.25125,0.00079,0,0,0,0.54767,0.44935,57.07143,41.21429,116.8
2021,South Dakota,0.77969,0.20696,0.00818,0.00324,0.00194,0,0.4534,0.42731,61.7,35.4,115.7
2021,Tennessee,0.73512,0.26224,0.00265,0,0,0,0.41299,0.58629,57.91304,40.26087,142.7
2021,Texas,0.70011,0.28989,0.00896,0.00098,6.00E-05,0,0.47686,0.47211,59.93333,40.55556,99.2
2021,Utah,0.65238,0.31198,0.03216,0.00347,0,0,0.74092,0.2397,75.66667,43.86667,83.5
2021,Vermont,0.83057,0.16738,0.00205,0,0,0,0.37055,0.62945,50.25,32,86.2
2021,Virgin Islands,0.84937,0.15063,0,0,0,0,0,1,53.5,25,
2021,Virginia,0.8478,0.1507,0.0015,0,0,0,0.49433,0.3309,47.59375,33.21875,85.3
2021,Washington,0.80589,0.17804,0.00723,0.00705,0.00161,0.00018,0.12401,0.85416,55.83871,31.12903,80.3
2021,West Virginia,0.77843,0.22137,0.0002,0,0,0,0.51723,0.41795,56.57143,37.64286,165
2021,Wisconsin,0.72111,0.26962,0.00879,0.00047,0,0,0.58138,0.41786,63.55172,41.41379,87.9
2021,Wyoming,0.78067,0.20151,0.0163,0.00061,0.00015,0.00077,0.63527,0.10789,64.88889,35.55556,134.3
